iter	RMSE
0	2.335683987
1	2.304594203
2	2.27420755
3	2.245318298
4	2.215953088
5	2.188488638
6	2.160466168
7	2.134471623
8	2.108119541
9	2.083727088
10	2.060722531
11	2.039711393
12	2.018418695
13	1.999156122
14	1.978578711
15	1.95874807
16	1.94008986
17	1.922556576
18	1.905421651
19	1.889254876
20	1.872374569
21	1.857207908
22	1.841751699
23	1.827902343
24	1.814061977
25	1.800442535
26	1.786821777
27	1.773888026
28	1.761261412
29	1.749339159
30	1.736957115
31	1.725918948
32	1.713796797
33	1.702326968
34	1.691325694
35	1.682654781
36	1.671845492
37	1.662726822
38	1.653529011
39	1.643858036
40	1.634784291
41	1.626552902
42	1.617413226
43	1.60911178
44	1.602121703
45	1.594219359
46	1.585737924
47	1.578313147
48	1.571350289
49	1.56458591
50	1.558092976
51	1.551705407
52	1.545820496
53	1.539600262
54	1.533960018
55	1.527945229
56	1.523233031
57	1.517337537
58	1.512455213
59	1.506485059
60	1.501013474
61	1.496245355
62	1.491256045
63	1.486953585
64	1.482207992
65	1.478206099
66	1.474318341
67	1.470034595
68	1.46639351
69	1.462600299
70	1.457901826
71	1.453377963
72	1.448834828
73	1.445169775
74	1.441557968
75	1.437759635
76	1.434314828
77	1.430704732
78	1.426971371
79	1.423845235
80	1.420695942
81	1.417348701
82	1.414006601
83	1.41065732
84	1.407701324
85	1.404473407
86	1.401446173
87	1.398036753
88	1.394947646
89	1.392095635
90	1.389393822
91	1.386303194
92	1.383914904
93	1.380810245
94	1.378114439
95	1.375935533
96	1.373615558
97	1.371411035
98	1.369219811
99	1.367497346
100	1.365428291
101	1.363435739
102	1.360949896
103	1.35856744
104	1.355671697
105	1.353097971
106	1.350942799
107	1.348548647
108	1.345958983
109	1.343996837
110	1.341586836
111	1.339532843
112	1.337260351
113	1.335171689
114	1.333201563
115	1.331278305
116	1.329307345
117	1.327204771
118	1.325364068
119	1.324086755
120	1.322483613
121	1.320451452
122	1.31902411
123	1.317529248
124	1.316007351
125	1.313642884
126	1.311380053
127	1.309672737
128	1.308014864
129	1.306176082
130	1.304078387
131	1.301728543
132	1.30013551
133	1.298435456
134	1.296581744
135	1.294970849
136	1.293224012
137	1.291261747
138	1.289661124
139	1.288158242
140	1.286384903
141	1.28464779
142	1.283105451
143	1.281429585
144	1.280263615
145	1.278391004
146	1.276782698
147	1.275341122
148	1.27355623
149	1.272171023
150	1.27102701
151	1.268806754
152	1.267734263
153	1.26585691
154	1.263969747
155	1.262809077
156	1.261659953
157	1.260564148
158	1.258992797
159	1.257509201
160	1.256445425
161	1.25555598
162	1.253550384
163	1.25236667
164	1.251144028
165	1.249673821
166	1.248081003
167	1.246150128
168	1.245253872
169	1.24356293
170	1.242241153
171	1.240879248
172	1.239501085
173	1.238679773
174	1.237542632
175	1.236668955
176	1.235597654
177	1.234580229
178	1.233244031
179	1.23214878
180	1.231314094
181	1.230447348
182	1.228893708
183	1.227556585
184	1.226077242
185	1.224833872
186	1.223430749
187	1.221893543
188	1.220859466
189	1.21973848
190	1.218956789
191	1.217993944
192	1.216855872
193	1.215589347
194	1.214105021
195	1.213254509
196	1.212254539
197	1.211186052
198	1.21052974
199	1.209662907
200	1.208877041
201	1.207622178
202	1.206282546
203	1.20524652
204	1.20408093
205	1.203063411
206	1.201899227
207	1.201134111
208	1.200196451
209	1.199066119
210	1.19824665
211	1.197241079
212	1.196203831
213	1.195282854
214	1.194508205
215	1.193576133
216	1.192376418
217	1.191422208
218	1.190665146
219	1.189609874
220	1.188882178
221	1.188018141
222	1.187223823
223	1.185702269
224	1.184824314
225	1.184095588
226	1.183389287
227	1.182716133
228	1.181787077
229	1.180979438
230	1.179832245
231	1.179079124
232	1.178285042
233	1.1773462
234	1.176574634
235	1.17549661
236	1.174401528
237	1.173542704
238	1.172926227
239	1.171967814
240	1.171368275
241	1.170521684
242	1.16982401
243	1.16882786
244	1.167922841
245	1.167056858
246	1.166172834
247	1.165000117
248	1.163237054
249	1.162525175
250	1.161619543
251	1.160465083
252	1.159883537
253	1.159084305
254	1.158531459
255	1.157796468
256	1.15698274
257	1.15565412
258	1.154875104
259	1.153852829
260	1.153099363
261	1.152266348
262	1.15127767
263	1.150420453
264	1.149730765
265	1.149186325
266	1.148279333
267	1.147580713
268	1.146591121
269	1.145524465
270	1.144424019
271	1.143218862
272	1.142718733
273	1.142186451
274	1.141021879
275	1.140436956
276	1.139778051
277	1.138975289
278	1.137768821
279	1.136788144
280	1.135898591
281	1.134859972
282	1.134142226
283	1.133476354
284	1.132529752
285	1.131668239
286	1.130736158
287	1.129553931
288	1.12889163
289	1.1282323
290	1.127038065
291	1.126063254
292	1.125194164
293	1.124122758
294	1.123326222
295	1.122386794
296	1.121252097
297	1.120501874
298	1.119636104
299	1.118905154
300	1.118037879
301	1.117021862
302	1.11621599
303	1.115328998
304	1.114655563
305	1.113896296
306	1.113225207
307	1.112553678
308	1.111943148
309	1.11105568
310	1.110414355
311	1.109698873
312	1.109174572
313	1.108538372
314	1.107234483
315	1.106230949
316	1.105322852
317	1.104849491
318	1.104407058
319	1.103481999
320	1.102661016
321	1.10189439
322	1.101345696
323	1.100723968
324	1.100172167
325	1.099503874
326	1.098709881
327	1.09819057
328	1.097543273
329	1.096881141
330	1.096378255
331	1.095665006
332	1.094804314
333	1.093850789
334	1.092997886
335	1.092062062
336	1.091377272
337	1.090682346
338	1.089865373
339	1.089364082
340	1.088586087
341	1.087849448
342	1.087164584
343	1.086311823
344	1.085447013
345	1.084771844
346	1.084287714
347	1.08372661
348	1.083236732
349	1.082515299
350	1.081898686
351	1.080928454
352	1.080307751
353	1.079761726
354	1.078921825
355	1.078276375
356	1.077682322
357	1.0768865
358	1.075961262
359	1.075213387
360	1.074457659
361	1.073937598
362	1.073304538
363	1.072513221
364	1.071767974
365	1.070952323
366	1.070295391
367	1.069411164
368	1.068457814
369	1.06792013
370	1.067169239
371	1.066538048
372	1.065879884
373	1.065251003
374	1.064594718
375	1.063933134
376	1.063428725
377	1.062731932
378	1.061934607
379	1.061332588
380	1.060652601
381	1.059906587
382	1.05948584
383	1.058959433
384	1.057980982
385	1.057148934
386	1.056318549
387	1.055629524
388	1.054808041
389	1.054089557
390	1.05329894
