iter	Passed	Remaining
0	109	10881
1	173	8524
2	207	6718
3	248	5971
4	281	5349
5	314	4928
6	340	4526
7	367	4221
8	393	3979
9	417	3759
10	444	3595
11	487	3573
12	515	3450
13	544	3344
14	576	3269
15	611	3212
16	646	3156
17	680	3101
18	717	3059
19	751	3007
20	796	2995
21	838	2971
22	900	3016
23	933	2957
24	970	2911
25	1026	2921
26	1061	2869
27	1093	2812
28	1136	2781
29	1175	2742
30	1212	2698
31	1241	2637
32	1272	2582
33	1302	2529
34	1335	2480
35	1363	2423
36	1391	2369
37	1422	2320
38	1452	2272
39	1484	2226
40	1538	2213
41	1575	2175
42	1612	2137
43	1669	2124
44	1701	2079
45	1750	2054
46	1785	2013
47	1827	1979
48	1861	1937
49	1896	1896
50	1940	1864
51	1971	1819
52	2006	1779
53	2044	1741
54	2087	1707
55	2130	1674
56	2163	1632
57	2209	1599
58	2254	1566
59	2285	1523
60	2353	1504
61	2402	1472
62	2455	1442
63	2506	1409
64	2554	1375
65	2614	1346
66	2636	1298
67	2693	1267
68	2744	1232
69	2774	1189
70	2804	1145
71	2839	1104
72	2879	1065
73	2939	1032
74	2968	989
75	3010	950
76	3049	910
77	3080	868
78	3122	829
79	3173	793
80	3214	754
81	3244	712
82	3277	671
83	3317	631
84	3353	591
85	3388	551
86	3425	511
87	3459	471
88	3495	432
89	3537	393
90	3570	353
91	3615	314
92	3654	275
93	3710	236
94	3760	197
95	3795	158
96	3835	118
97	3880	79
98	3914	39
99	3952	0
