task,model,best_params,best_val_score,num_combos_tried,all_combos
caco2_wang,MiniMol,"n_estimators=50, max_depth=None",0.4056,4,+: 0.4056 | +: 0.4188 | +: 0.4278 | +: 0.4277
caco2_wang,DeepMol,morgan_1024+xgb,0.4529,6,morgan_2048+rf_100: 0.4588 | morgan_2048+rf_200: 0.4605 | morgan_2048+xgb: 0.4736 | morgan_1024+rf_100: 0.4809 | morgan_1024+rf_200: 0.4781 | morgan_1024+xgb: 0.4529
caco2_wang,MapLight_GNN,"iterations=500, learning_rate=0.1",0.3373,4,"iter=500, lr=0.1: 0.3373 | iter=1000, lr=0.1: 0.3381 | iter=1000, lr=0.03: 0.34 | iter=2000, lr=0.03: 0.3417"
caco2_wang,AttrMasking,"lr=0.001, epochs=20",0.4585,2,"lr=0.001, epochs=20: 0.4585 | lr=0.0001, epochs=30: 0.5096"
hia_hou,MiniMol,"n_estimators=200, max_depth=None",0.9073,4,+: 0.8997 | +: 0.8835 | +: 0.9073 | +: 0.9048
hia_hou,DeepMol,morgan_2048+rf_100,0.9273,6,morgan_2048+rf_100: 0.9273 | morgan_2048+rf_200: 0.9135 | morgan_2048+xgb: 0.6992 | morgan_1024+rf_100: 0.8346 | morgan_1024+rf_200: 0.817 | morgan_1024+xgb: 0.5789
hia_hou,MapLight_GNN,"iterations=1000, learning_rate=0.03",0.9799,4,"iter=500, lr=0.1: 0.9749 | iter=1000, lr=0.1: 0.9749 | iter=1000, lr=0.03: 0.9799 | iter=2000, lr=0.03: 0.9799"
hia_hou,AttrMasking,"lr=0.001, epochs=20",0.9975,2,"lr=0.001, epochs=20: 0.9975 | lr=0.0001, epochs=30: 0.995"
pgp_broccatelli,MiniMol,"n_estimators=200, max_depth=10",0.9720,4,+: 0.9675 | +: 0.9666 | +: 0.9689 | +: 0.972
pgp_broccatelli,DeepMol,morgan_2048+rf_200,0.9764,6,morgan_2048+rf_100: 0.9748 | morgan_2048+rf_200: 0.9764 | morgan_2048+xgb: 0.9541 | morgan_1024+rf_100: 0.9678 | morgan_1024+rf_200: 0.9725 | morgan_1024+xgb: 0.9358
pgp_broccatelli,MapLight_GNN,"iterations=1000, learning_rate=0.03",0.9762,4,"iter=500, lr=0.1: 0.9732 | iter=1000, lr=0.1: 0.9747 | iter=1000, lr=0.03: 0.9762 | iter=2000, lr=0.03: 0.9747"
pgp_broccatelli,AttrMasking,"lr=0.001, epochs=20",0.9762,2,"lr=0.001, epochs=20: 0.9762 | lr=0.0001, epochs=30: 0.9712"
bioavailability_ma,MiniMol,"n_estimators=200, max_depth=10",0.7035,4,+: 0.645 | +: 0.6322 | +: 0.6851 | +: 0.7035
bioavailability_ma,DeepMol,morgan_2048+rf_100,0.6859,6,morgan_2048+rf_100: 0.6859 | morgan_2048+rf_200: 0.6675 | morgan_2048+xgb: 0.6506 | morgan_1024+rf_100: 0.5553 | morgan_1024+rf_200: 0.5769 | morgan_1024+xgb: 0.6795
bioavailability_ma,MapLight_GNN,"iterations=1000, learning_rate=0.03",0.7740,4,"iter=500, lr=0.1: 0.742 | iter=1000, lr=0.1: 0.7564 | iter=1000, lr=0.03: 0.774 | iter=2000, lr=0.03: 0.758"
bioavailability_ma,AttrMasking,"lr=0.001, epochs=20",0.8029,2,"lr=0.001, epochs=20: 0.8029 | lr=0.0001, epochs=30: 0.7933"
lipophilicity_astrazeneca,MiniMol,"n_estimators=200, max_depth=None",0.6454,4,+: 0.6619 | +: 0.6553 | +: 0.6454 | +: 0.6592
lipophilicity_astrazeneca,DeepMol,morgan_2048+xgb,0.7755,6,morgan_2048+rf_100: 0.7951 | morgan_2048+rf_200: 0.7963 | morgan_2048+xgb: 0.7755 | morgan_1024+rf_100: 0.8246 | morgan_1024+rf_200: 0.8302 | morgan_1024+xgb: 0.7994
lipophilicity_astrazeneca,MapLight_GNN,"iterations=2000, learning_rate=0.03",0.5072,4,"iter=500, lr=0.1: 0.5318 | iter=1000, lr=0.1: 0.5283 | iter=1000, lr=0.03: 0.5183 | iter=2000, lr=0.03: 0.5072"
lipophilicity_astrazeneca,AttrMasking,"lr=0.001, epochs=20",0.5420,2,"lr=0.001, epochs=20: 0.542 | lr=0.0001, epochs=30: 0.5781"
solubility_aqsoldb,MiniMol,"n_estimators=200, max_depth=None",1.2406,4,+: 1.2422 | +: 1.243 | +: 1.2406 | +: 1.2556
solubility_aqsoldb,DeepMol,morgan_2048+xgb,1.5675,6,morgan_2048+rf_100: 1.7196 | morgan_2048+rf_200: 1.6878 | morgan_2048+xgb: 1.5675 | morgan_1024+rf_100: 1.7995 | morgan_1024+rf_200: 1.772 | morgan_1024+xgb: 1.5718
solubility_aqsoldb,MapLight_GNN,"iterations=1000, learning_rate=0.1",1.5488,4,"iter=500, lr=0.1: 1.568 | iter=1000, lr=0.1: 1.5488 | iter=1000, lr=0.03: 1.5811 | iter=2000, lr=0.03: 1.569"
solubility_aqsoldb,AttrMasking,"lr=0.0001, epochs=30",1.2557,2,"lr=0.001, epochs=20: 1.3989 | lr=0.0001, epochs=30: 1.2557"
bbb_martins,MiniMol,"n_estimators=50, max_depth=None",0.9369,4,+: 0.9369 | +: 0.9355 | +: 0.9361 | +: 0.931
bbb_martins,DeepMol,morgan_1024+rf_100,0.9693,6,morgan_2048+rf_100: 0.9684 | morgan_2048+rf_200: 0.9668 | morgan_2048+xgb: 0.9554 | morgan_1024+rf_100: 0.9693 | morgan_1024+rf_200: 0.9659 | morgan_1024+xgb: 0.9478
bbb_martins,MapLight_GNN,"iterations=1000, learning_rate=0.1",0.9782,4,"iter=500, lr=0.1: 0.9767 | iter=1000, lr=0.1: 0.9782 | iter=1000, lr=0.03: 0.9741 | iter=2000, lr=0.03: 0.9747"
bbb_martins,AttrMasking,"lr=0.001, epochs=20",0.9503,2,"lr=0.001, epochs=20: 0.9503 | lr=0.0001, epochs=30: 0.9302"
ppbr_az,MiniMol,"n_estimators=100, max_depth=None",10.0021,4,+: 10.1392 | +: 10.0021 | +: 10.2114 | +: 10.3461
