benchmark,model,algorithm,task_type,leaderboard_metric,score,std,best_hyperparams,status
caco2_wang,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",regression,mae,0.422,0.032,"lr=0.001, epochs=20",complete
hia_hou,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",binary,roc-auc,0.987,0.002,"lr=0.001, epochs=20",complete
pgp_broccatelli,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",binary,roc-auc,0.935,0.005,"lr=0.001, epochs=20",complete
bioavailability_ma,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",binary,roc-auc,0.709,0.027,"lr=0.001, epochs=20",complete
lipophilicity_astrazeneca,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",regression,mae,0.538,0.009,"lr=0.001, epochs=20",complete
solubility_aqsoldb,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",regression,mae,1.002,0.024,"lr=0.0001, epochs=30",complete
bbb_martins,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",binary,roc-auc,0.911,0.006,"lr=0.001, epochs=20",complete
ppbr_az,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",regression,mae,9.062,0.239,"lr=0.001, epochs=20",complete
vdss_lombardo,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",regression,spearman,0.554,0.013,"lr=0.001, epochs=20",complete
cyp2d6_veith,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",binary,pr-auc,0.754,0.001,"lr=0.0001, epochs=30",complete
cyp3a4_veith,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",binary,pr-auc,0.911,0.001,"lr=0.0001, epochs=30",complete
cyp2c9_veith,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",binary,pr-auc,0.84,0.002,"lr=0.0001, epochs=30",complete
cyp2c9_substrate_carbonmangels,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",binary,pr-auc,0.443,0.032,"lr=0.0001, epochs=30",complete
cyp2d6_substrate_carbonmangels,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",binary,pr-auc,0.738,0.016,"lr=0.001, epochs=20",complete
cyp3a4_substrate_carbonmangels,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",binary,roc-auc,0.63,0.011,"lr=0.001, epochs=20",complete
half_life_obach,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",regression,spearman,0.186,0.202,"lr=0.0001, epochs=30",complete
clearance_hepatocyte_az,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",regression,spearman,0.419,0.019,"lr=0.001, epochs=20",complete
clearance_microsome_az,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",regression,spearman,0.612,0.014,"lr=0.001, epochs=20",complete
ld50_zhu,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",regression,mae,0.661,0.026,"lr=0.0001, epochs=30",complete
herg,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",binary,roc-auc,0.829,0.011,"lr=0.001, epochs=20",complete
ames,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",binary,roc-auc,0.851,0.005,"lr=0.001, epochs=20",complete
dili,AttrMasking,"Fine-tuned GIN (pre-trained, attribute masking)",binary,roc-auc,0.932,0.008,"lr=0.001, epochs=20",complete
