benchmark,model,algorithm,task_type,leaderboard_metric,score,std,best_hyperparams,status
caco2_wang,MiniMol,Random Forest on GNN fingerprint,regression,mae,0.435,0.011,"n_estimators=50, max_depth=None",complete
hia_hou,MiniMol,Random Forest on GNN fingerprint,binary,roc-auc,0.945,0.007,"n_estimators=200, max_depth=None",complete
pgp_broccatelli,MiniMol,Random Forest on GNN fingerprint,binary,roc-auc,0.931,0.005,"n_estimators=200, max_depth=10",complete
bioavailability_ma,MiniMol,Random Forest on GNN fingerprint,binary,roc-auc,0.718,0.025,"n_estimators=200, max_depth=10",complete
lipophilicity_astrazeneca,MiniMol,Random Forest on GNN fingerprint,regression,mae,0.627,0.002,"n_estimators=200, max_depth=None",complete
solubility_aqsoldb,MiniMol,Random Forest on GNN fingerprint,regression,mae,0.91,0.004,"n_estimators=200, max_depth=None",complete
bbb_martins,MiniMol,Random Forest on GNN fingerprint,binary,roc-auc,0.89,0.009,"n_estimators=50, max_depth=None",complete
ppbr_az,MiniMol,Random Forest on GNN fingerprint,regression,mae,8.797,0.069,"n_estimators=100, max_depth=None",complete
vdss_lombardo,MiniMol,Random Forest on GNN fingerprint,regression,spearman,0.454,0.031,"n_estimators=200, max_depth=10",complete
cyp2d6_veith,MiniMol,Random Forest on GNN fingerprint,binary,pr-auc,0.663,0.004,"n_estimators=200, max_depth=10",complete
cyp3a4_veith,MiniMol,Random Forest on GNN fingerprint,binary,pr-auc,0.858,0.001,"n_estimators=200, max_depth=None",complete
cyp2c9_veith,MiniMol,Random Forest on GNN fingerprint,binary,pr-auc,0.779,0.002,"n_estimators=200, max_depth=None",complete
cyp2c9_substrate_carbonmangels,MiniMol,Random Forest on GNN fingerprint,binary,pr-auc,0.424,0.023,"n_estimators=200, max_depth=None",complete
cyp2d6_substrate_carbonmangels,MiniMol,Random Forest on GNN fingerprint,binary,pr-auc,0.713,0.006,"n_estimators=200, max_depth=10",complete
cyp3a4_substrate_carbonmangels,MiniMol,Random Forest on GNN fingerprint,binary,roc-auc,0.649,0.01,"n_estimators=100, max_depth=None",complete
half_life_obach,MiniMol,Random Forest on GNN fingerprint,regression,spearman,0.383,0.027,"n_estimators=50, max_depth=None",complete
clearance_hepatocyte_az,MiniMol,Random Forest on GNN fingerprint,regression,spearman,0.42,0.017,"n_estimators=100, max_depth=None",complete
clearance_microsome_az,MiniMol,Random Forest on GNN fingerprint,regression,spearman,0.592,0.009,"n_estimators=200, max_depth=None",complete
ld50_zhu,MiniMol,Random Forest on GNN fingerprint,regression,mae,0.658,0.001,"n_estimators=200, max_depth=None",complete
herg,MiniMol,Random Forest on GNN fingerprint,binary,roc-auc,0.828,0.01,"n_estimators=200, max_depth=None",complete
ames,MiniMol,Random Forest on GNN fingerprint,binary,roc-auc,0.824,0.005,"n_estimators=200, max_depth=None",complete
dili,MiniMol,Random Forest on GNN fingerprint,binary,roc-auc,0.901,0.008,"n_estimators=200, max_depth=10",complete
