benchmark,model,algorithm,task_type,leaderboard_metric,score,std,status
caco2_wang,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,regression,-,-,-,pending
hia_hou,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,binary,-,-,-,pending
pgp_broccatelli,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,binary,-,-,-,pending
bioavailability_ma,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,binary,-,-,-,pending
lipophilicity_astrazeneca,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,regression,-,-,-,pending
solubility_aqsoldb,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,regression,-,-,-,pending
bbb_martins,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,binary,-,-,-,pending
ppbr_az,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,regression,-,-,-,pending
vdss_lombardo,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,regression,-,-,-,pending
cyp2d6_veith,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,binary,-,-,-,pending
cyp3a4_veith,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,binary,-,-,-,pending
cyp2c9_veith,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,binary,-,-,-,pending
cyp2c9_substrate_carbonmangels,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,binary,-,-,-,pending
cyp2d6_substrate_carbonmangels,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,binary,-,-,-,pending
cyp3a4_substrate_carbonmangels,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,binary,-,-,-,pending
half_life_obach,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,regression,-,-,-,pending
clearance_hepatocyte_az,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,regression,-,-,-,pending
clearance_microsome_az,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,regression,-,-,-,pending
ld50_zhu,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,regression,-,-,-,pending
herg,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,binary,-,-,-,pending
ames,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,binary,-,-,-,pending
dili,MapLight_GNN,CatBoost on concatenated fingerprints + GIN embeddings,binary,-,-,-,pending
